"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Detection Algorithm of Rail Surface Defects Based on Deep Learning","Y. Du; J. Zhang; J. Wang; H. Fan","School of Mechatronic Engineering, Xi'an Technological University, Xi'an, China; School of Mechatronic Engineering, Xi'an Technological University, Xi'an, China; School of Mechatronic Engineering, Xi'an Technological University, Xi'an, China; School of Mechatronic Engineering, Xi'an Technological University, Xi'an, China",2025 International Conference on Electrical Automation and Artificial Intelligence (ICEAAI),"15 Apr 2025","2025","","","1002","1005","In the field of railway transportation, the integrity of the rails is a core element in ensuring the safe operation of trains. As the railway network continues to expand and the transportation load increases, the detection of surface defects on the rails becomes particularly critical. Neglecting defects such as cracks, wear, and corrosion could lead to catastrophic consequences. This study is dedicated to developing an advanced rail surface defect detection algorithm based on artificial intelligence, significantly enhancing the accuracy and efficiency of detection. We propose an innovative “Enhanced Feature Fusion U-Net” (EFF-U-Net) model, which, through its designed skip connections, achieves efficient fusion of features, thereby greatly improving the recognition ability of the model for details on the rail surface. Faced with the scarcity of rail surface defect datasets, we have employed data augmentation techniques to effectively expand the sample size and enhance the model's generalization capabilities. Through experimental validation on the $\text{RSDDS}+\text{dataset}$, our method has demonstrated exceptional performance, significantly improving the accuracy and identification capability of defect detection.","","979-8-3315-0679-7","10.1109/ICEAAI64185.2025.10956311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10956311","rail surface defects;deep learning;defect detection;U-Net","Rails;Deep learning;Accuracy;Transportation;Data augmentation;Rail transportation;Data models;Surface cracks;Artificial intelligence;Defect detection","","","","9","IEEE","15 Apr 2025","","","IEEE","IEEE Conferences"
"Enhancing the Prediction of Locomotion Transition With High-Density Surface Electromyography","S. Jing; H. -Y. Huang; M. Jouaiti; Y. Zhao; Z. Yu; R. Vaidyanathan; D. Farina","Department of Mechanical Engineering and the Dementia Research Institute Care Research & Technology Centre (DRI-CR&T), Imperial College London, London, U.K.; Department of Engineering and Design, University of Sussex, Sussex, U.K.; School of Computer Science, University of Birmingham, Birmingham, U.K.; Department of Bioengineering, Imperial College London, London, U.K.; Department of Computer Science, University of Aberdeen, Aberdeen, U.K.; Department of Mechanical Engineering and the Dementia Research Institute Care Research & Technology Centre (DRI-CR&T), Imperial College London, London, U.K.; Department of Bioengineering, Imperial College London, London, U.K.",IEEE Journal of Biomedical and Health Informatics,"5 Sep 2025","2025","29","9","6263","6275","Prediction of transition between locomotion modes (e.g. moving from flat ground to stairs, etc) is vital for optimal interface with lower limb assistive technologies such as exoskeletons and prostheses. Inertial and bipolar electromyography (EMG) sensors have been investigated, but accuracy for clinical utility remains unresolved. This shortfall may be attributed to their limited capacity to detect subtle changes in muscle activations, particularly during the early stages of locomotion transitions (e.g., near the toe-off). In this study, we examined the effectiveness of two high-density surface electromyography (HDsEMG) sensors in detecting muscle activation changes during stair-related transitions. The results revealed that compared to bipolar EMG on the same muscles, HDsEMG-based methods increased transition prediction accuracy significantly from 70.2% to 91.1% when predicting at toe-off and from 89.8% to 99.2% when predicting with a delay of 400-ms relative to toe-off. This demonstrated the superior ability of HDsEMG to capture subtle muscle activation changes, especially during early transition stages. We also found reducing the electrode count to 21 per muscle only minimally impacted performance (88.3% accuracy at toe-off). This suggests distributing the same total number of electrodes across more muscles could potentially further improve prediction accuracy without increasing computational load. Moreover, by implementing image-inpainting signal processing, HDsEMG demonstrated robustness against the common issue of electrode signal loss. Even with 30% electrode detachment, prediction accuracy decreased only by 3%. We argue that HDsEMG offers a promising solution to bridge the gap in locomotion transition prediction for interface with assistive technology.","2168-2208","","10.1109/JBHI.2024.3497658","Engineering and Physical Sciences Research Council(grant numbers:EP/T020970/1); U.K. Dementia Research Institute; Medical Research Council, in partnership with Alzheimer's Society(grant numbers:U.K. DRI-7003,U.K. DRI-7005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752377","High-density sEMG;locomotion transition prediction;CNN;GRU;electrode loss","Legged locomotion;Electromyography;Muscles;Electrodes;Accuracy;Stairs;Sensors;Limbs;Mechanical sensors;Steady-state","Electromyography;Humans;Male;Adult;Locomotion;Signal Processing, Computer-Assisted;Female;Young Adult;Muscle, Skeletal;Gait","3","","25","IEEE","13 Nov 2024","","","IEEE","IEEE Journals"
"An Improved Masking Strategy for Self- Supervised Masked Reconstruction in Human Activity Recognition","J. Wang; W. Cui; T. Zhu; H. Ning; Z. Liu","School of Computer Science, University of South China, Hengyang, China; School of Computer Science, University of South China, Hengyang, China; School of Computer Science, University of South China, Hengyang, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer Science, University of South China, Hengyang, China",IEEE Sensors Journal,"3 Jun 2024","2024","24","11","18699","18709","Masked reconstruction serves as a crucial pretext task for self-supervised learning, enabling the model to improve its feature extraction capabilities by reconstructing the masked segments from abundant unlabeled data. In the field of human activity recognition (HAR), this pretext task has traditionally employed a masking strategy that focuses on the time dimension. However, this strategy fails to fully leverage the inherent characteristics of wearable sensor data and overlooks the interchannel information coupling, thereby limiting its potential as an effective pretext task. To overcome these limitations, we propose a novel masking strategy called channel masking. This strategy involves masking the sensor data along the channel dimension, thereby encouraging the encoder to extract channel-specific features while performing the masked reconstruction task. Additionally, channel masking can be seamlessly integrated with masking strategies along the time dimension, motivating the self-supervised model to undertake the masked reconstruction task in both the time and channel dimensions. The integrated masking strategies are named time-channel masking and span-channel masking. Furthermore, we optimize the reconstruction loss function to incorporate the reconstruction loss in both the time and channel dimensions. We evaluate the proposed masking strategies on three public datasets, and the experimental results demonstrate that these strategies outperform prior approaches in both self-supervised and semisupervised scenarios.","1558-1748","","10.1109/JSEN.2024.3390755","National Natural Science Foundation of China(grant numbers:62006110); Natural Science Foundation of Hunan Province(grant numbers:2023JJ30518); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10508292","Channel masking;human activity recognition (HAR);masked reconstruction;self-supervised;wearable sensors","Sensors;Task analysis;Human activity recognition;Self-supervised learning;Data models;Feature extraction;Image reconstruction","","2","","42","IEEE","24 Apr 2024","","","IEEE","IEEE Journals"
"A Multitask Deep Learning Approach for Sensor-Based Human Activity Recognition and Segmentation","F. Duan; T. Zhu; J. Wang; L. Chen; H. Ning; Y. Wan","Department of Computer Science, University of South China, Hengyang, China; Department of Computer Science, University of South China, Hengyang, China; Department of Computer Science, University of South China, Hengyang, China; School of Computing and Mathematics, Ulster University, Belfast, U.K.; Department of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; Department of Computer Science, University of South China, Hengyang, China",IEEE Transactions on Instrumentation and Measurement,"25 May 2023","2023","72","","1","12","Deep learning (DL) for sensor-based human activity recognition (HAR) has been a focus of research in recent years. Sensor data stream segmentation is a core element in HAR, which has currently been treated as an independent preprocessing task, usually with a fixed-size window. This has led to two critical problems, namely the multiclass window problem caused by possible multiple activities within a fixed-size window and the fluctuation of prediction results due to noisy data and oversegmentation. To address these research challenges, in this article, we conceive a novel multitask DL approach to segmenting and recognizing human activity simultaneously. Specifically, we propose a multiscale window method based on feature sequence generation to overcome the multiclass window problem. We develop a novel boundary offset prediction algorithm to adjust a window’s boundary to tackle the oversegmentation issue. In addition, we design a multitask framework to streamline and optimize the activity recognition and segmentation tasks simultaneously. We conduct extensive experiments on eight benchmark datasets to evaluate the proposed framework and associated methods. Initial results show that our approach outperforms the performance of current state-of-the-art HAR methods.","1557-9662","","10.1109/TIM.2023.3273673","National Natural Science Foundation of China(grant numbers:62006110,62071213); Research Foundation of Education Bureau of Hunan Province(grant numbers:21C0311,21B0424); Hengyang Science and Technology Major Project(grant numbers:202250015428); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127602","Activity recognition;activity segmentation;deep learning (DL);multitask learning (MTL);sensors","Task analysis;Multitasking;Feature extraction;Convolution;Deep learning;Prediction algorithms;Indexes","","23","","50","IEEE","16 May 2023","","","IEEE","IEEE Journals"
"Accurate and Robust Locomotion Mode Recognition Using High-Density EMG Recordings from a Single Muscle Group","S. Jing; H. -Y. Huang; R. Vaidyanathan; D. Farina","Department of Mechanical Engineering, Imperial College London, London, United Kingdom; Department of Bioengineering, Imperial College London, London, United Kingdom; Department of Mechanical Engineering, Imperial College London, London, United Kingdom; Department of Bioengineering, Imperial College London, London, United Kingdom",2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"8 Sep 2022","2022","","","686","689","Existing methods for human locomotion mode recognition often rely on using multiple bipolar electrode sensors on multiple muscle groups to accurately identify underlying motor activities. To avoid this complex setup and facilitate the translation of this technology, we introduce a single grid of high-density surface electromyography (HDsEMG) electrodes mounted on a single location (above the rectus femoris) to classify six locomotion modes in human walking. By employing a neural network, the trained model achieved average recognition accuracy of 97.7% with 160ms latency, significantly better than the model trained with one bipolar electrode pair placed on the same muscle (71.4% accuracy). To further exploit the spatial and temporal information of HDsEMG, we applied data augmentation to generate artificial data from simulated displaced electrodes, aiming to counteract the influence of electrode shifts. By employing a convolutional neural network with the enhanced dataset, the updated model was not strongly affected by electrode misplacement (93.9% accuracy) while models trained by bipolar electrode data were significantly disrupted by electrode shifts (29.4% accuracy). Findings suggest HDsEMG could be a valuable resource for mapping gait with fewer sensor locations and greater robustness. Results offer future promise for real-time control of assistive technology such as exoskeletons.","2694-0604","978-1-7281-2782-8","10.1109/EMBC48229.2022.9871155","EPSRC(grant numbers:EP/T020970/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9871155","","Electrodes;Neural networks;Muscles;Electromyography;Data models;Robustness;Real-time systems","Algorithms;Electrodes;Electromyography;Humans;Locomotion;Muscle, Skeletal","4","","8","IEEE","8 Sep 2022","","","IEEE","IEEE Conferences"
"Learning Non-Euclidean Representations With SPD Manifold for Myoelectric Pattern Recognition","D. Xiong; D. Zhang; X. Zhao; Y. Chu; Y. Zhao","State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"10 Jun 2022","2022","30","","1514","1524","How to learn informative representations from Electromyography (EMG) signals is of vital importance for myoelectric control systems. Traditionally, hand-crafted features are extracted from individual EMG channels and combined together for pattern recognition. The spatial topological information between different channels can also be informative, which is seldom considered. This paper presents a radically novel approach to extract spatial structural information within diverse EMG channels based on the symmetric positive definite (SPD) manifold. The object is to learn non-Euclidean representations inside EMG signals for myoelectric pattern recognition. The performance is compared with two classical feature sets using accuracy and F1-score. The algorithm is tested on eleven gestures collected from ten subjects, and the best accuracy reaches 84.85%±5.15% with an improvement of 4.04%~20.25%, which outperforms the contrast method, and reaches a significant improvement with the Wilcoxon signed-rank test. Eleven gestures from three public databases involving Ninapro DB2, DB4, and DB5 are also evaluated, and better performance is observed. Furthermore, the computational cost is less than the contrast method, making it more suitable for low-cost systems. It shows the effectiveness of the presented approach and contributes a new way for myoelectric pattern recognition.","1558-0210","","10.1109/TNSRE.2022.3178384","National Natural Science Foundation of China(grant numbers:U1813214,U20A20197,61773369,61903360,92048302); Self-Planned Project of the State Key Laboratory of Robotics(grant numbers:2020-Z12); Liaoning Revitalization Talents Program(grant numbers:XLYC1908030); China Postdoctoral Science Foundation Funded Project(grant numbers:2019M661155); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9783027","EMG;non-Euclidean;SPD manifold;Log-Euclidean metric;pattern recognition","Electromyography;Symmetric matrices;Feature extraction;Measurement;Geometry;Licenses;Band-pass filters","Algorithms;Electromyography;Gestures;Hand;Humans;Pattern Recognition, Automated","18","","42","CCBY","27 May 2022","","","IEEE","IEEE Journals"
"Continuous and Unified Modeling of Joint Kinematics for Multiple Activities","V. Rai; A. Sharma; D. Boe; P. Preechayasomboon; E. Rombokas","Department of Electrical and Computer Engineering, University of Washington, Seattle, WA, USA; Department of Mechanical Engineering, University of Washington, Seattle, WA, USA; Department of Electrical and Computer Engineering, University of Washington, Seattle, WA, USA; Department of Mechanical Engineering, University of Washington, Seattle, WA, USA; Department of Electrical and Computer Engineering, University of Washington, Seattle, WA, USA",IEEE Access,"9 May 2022","2022","10","","47509","47523","Intuitive control of powered prosthetic lower limbs is still an open-ended research goal. Current controllers employ discrete locomotion modes for well-defined and frequently encountered scenarios such as stair ascent, stair descent, or ramps. Non-standard movements such as side-shuffling into cars and avoiding obstacles are challenging to powered limb users. Human locomotion is a continuous motion comprising rhythmic and non-rhythmic movements, fluidly adapting to the environment. It exhibits strong inter-joint coordination and the movement of a single joint can be largely predicted based on the movement of the rest of the body. We explore a continuous and unified kinematics estimation strategy for a wide variety of movements without the need for labeled examples. Our data-driven approach uses natural body motion from the intact limbs and trunk to generate a kinematic reference trajectory for prosthetic joints. Wearable sensors were worn by 63 subjects without disabilities to record full-body kinematics during typical scenarios (flat ground and stairs), and non-rhythmic and atypical movements (side shuffles, weaving through cones, backward walking). A Recurrent Neural Network (RNN) was trained to predict right ankle and knee kinematics from the kinematics of other joints as inputs. Results were assessed on 3 different test subjects previously unseen by the network. All predictions had a RMSE of less than 7.5 degrees and a high correlation across activities. These offline predictions were robust to subject-specific variations such as walking speed and step length. Additionally, to test the feasibility of using a data-driven reference towards prosthetic control in real-time, a systems test was designed with a single participant. The controller acquired live kinematics, generated predictions using a pre-trained neural network, and demonstrated the capability to actuate the knee joint of a powered prosthesis for the treadmill walking task.","2169-3536","","10.1109/ACCESS.2022.3171246","NSF National Robotics Initiative Integrative(grant numbers:2024446/2024237); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765480","Prosthetic limbs;biomechatronics;rehabilitation robotics","Legged locomotion;Prosthetics;Kinematics;Knee;Trajectory;Stairs;Task analysis","","4","","61","CCBY","29 Apr 2022","","","IEEE","IEEE Journals"
"Cable-Driven Robotic Interface for Lower Limb Neuromechanics Identification","H. -Y. Huang; I. Farkhatdinov; A. Arami; M. Bouri; E. Burdet","Department of Bioengineering, Imperial College of Science, Technology and Medicine, London, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London; Department of Mechanical and Mechatronics Engineering, University of Waterloo; Labs of Biorobotics (BIOROB) and Translational Neural Engineering (TNE), Ecole Polytechnique Fédérale de Lausanne; Department of Bioengineering, Imperial College of Science, Technology and Medicine, London, U.K.",IEEE Transactions on Biomedical Engineering,"20 Jan 2021","2021","68","2","461","469","This paper presents a versatile cable-driven robotic interface to investigate the single-joint joint neuromechanics of the hip, knee and ankle in the sagittal plane. This endpoint-based interface offers highly dynamic interaction and accurate position control (as is typically required for neuromechanics identification), and provides measurements of position, interaction force and electromyography (EMG) of leg muscles. It can be used with the subject upright, corresponding to a natural posture during walking or standing, and does not impose kinematic constraints on a joint, in contrast to existing interfaces. Mechanical evaluations demonstrated that the interface yields a rigidity above 500 N/m with low viscosity. Tests with a rigid dummy leg and linear springs show that it can identify the mechanical impedance of a limb accurately. A smooth perturbation is developed and tested with a human subject, which can be used to estimate the hip neuromechanics.","1558-2531","","10.1109/TBME.2020.3004491","EC(grant numbers:ICT-601003,ICT-611626,H2020 ICT-871767); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9123557","Biomechanics;neural engineering;impedance;biomedical measurement;robot kinematics","Legged locomotion;Hip;Knee;Force;Mechanical cables;Torque","Ankle Joint;Biomechanical Phenomena;Electromyography;Humans;Knee Joint;Leg;Muscle, Skeletal;Robotic Surgical Procedures","5","","34","CCBY","23 Jun 2020","","","IEEE","IEEE Journals"
"Sensor-Based Human Activity Recognition: A Comparative Study of Machine Learning Techniques","M. S. H. Bhuiyan; N. S. Patwary; P. K. Saha; M. T. Hossain","Department of Computer Science and Engineering, East West University, Dhaka, Bangladesh; Department of Computer Science and Engineering, East West University, Dhaka, Bangladesh; Department of Computer Science and Engineering, East West University, Dhaka, Bangladesh; Department of Computer Science and Engineering, East West University, Dhaka, Bangladesh",2020 2nd International Conference on Advanced Information and Communication Technology (ICAICT),"1 Feb 2021","2020","","","286","290","Human activity recognition (HAR) is a wide field of study which identifies a person's specific movement or behavior based on sensor data. Recognition of human behavior is the origin of many technologies, such as those concerned with personal biometric signatures, sports training, digital computing, security, health and fitness tracking, ambient-assisted living and management. Studying recognition of human activity shows that researchers are mostly interested in human everyday activities. HAR models input is the reading of the raw sensor data, and output is the prediction of the movement activities of the user. The HAR framework is becoming an evolving discipline in intelligent computing applications in the field of pervasive computing. In our study, we applied several machine learning algorithm along with some preprocessing techniques to identify which algorithm performs better in dataset acquired from the WISDM laboratory, which is available in public domain. The experiment shows that the highest accuracy is achieved in phone accelerometer data using Principal Component Analysis (PCA) with Random Forest (RF) than any other algorithm and preprocessing techniques in terms of human activity recognition. This experiment will help perform more work on the basis of implementing classification and preprocessing techniques to identify human activities.","","978-0-7381-2323-3","10.1109/ICAICT51780.2020.9333470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9333470","Human activity recognition;machine Learning;preprocessing;accelerometer;gyroscope;accuracy","Training;Machine learning algorithms;Tracking;Activity recognition;Security;Principal component analysis;Sports","","4","","16","IEEE","1 Feb 2021","","","IEEE","IEEE Conferences"
"Mode-free Control of Prosthetic Lower Limbs","V. Rai; A. Sharma; E. Rombokas","Dept of Electrical Engineering, University of Washington, Seattle, WA, USA; Dept of Mechanical Engineering, University of Washington, Seattle, WA, USA; RR&D Center for Limb Loss and MoBility (CLiMB), VA Puget Sound Health Care System, Seattle, WA, USA",2019 International Symposium on Medical Robotics (ISMR),"9 May 2019","2019","","","1","7","Intuitive control of powered prosthetic lower limbs is still an open-ended research goal. Current controllers employ discrete locomotion modes for well-defined scenarios such as stair ascent, stair descent, or ramps. General human locomotion, however, is a continuous motion, fluidly adapting to the environment, and not always categorizable into modes. A prominent feature of normal movement is that it exhibits strong inter-joint coordination, and the movement of a single joint, such as the ankle, can be largely predicted based on the movement of the rest of the body. We show that using body motion from the intact limbs and trunk, a reference trajectory can be generated for a prosthetic joint for every instant in time.A wearable motion capture suit was worn by 11 healthy subjects to record full body kinematics during flat ground walking with and without random stops and stair ascent and descent. Three machine learning techniques were employed to predict right ankle kinematic trajectory using other joint kinematics as inputs. We found that a Recurrent Neural Network (RNN) was the best performing model, robust to subject-specific variations such as walking speed and step length. Performance of the network evaluated on a test subject (not included in training) showed that ankle angle can be estimated with a root mean square error of fewer than 7 degrees. The change in performance when using a smaller array of sensors, gathering partial body kinematics instead of full-body motion, is also evaluated. This approach demonstrates the potential for the application of data-driven models to prosthetic control without explicit featurization of terrains or gait phases.","","978-1-5386-7825-1","10.1109/ISMR.2019.8710187","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710187","prosthetic limbs;deep learning;gait analysis;motion capture","Sensors;Neural networks;Legged locomotion;Kinematics;Prosthetics;Training;Trajectory","","16","","18","IEEE","9 May 2019","","","IEEE","IEEE Conferences"
